t_sec,left_arm_joint2_vel
0.0,0.0
0.09819132,0.0
0.198125274,0.0
0.298117604,0.0
0.398692187,0.0
0.4989983,0.0
0.598905655,0.0
0.698977484,0.0
0.7984484550000001,0.0
0.8989707180000001,0.0
0.999075342,0.0
1.098494351,0.0
1.1989455,0.0
1.2989774660000002,0.0
1.399386554,0.0
1.498956213,0.0
1.598950842,0.0
1.698974423,0.0
1.798933792,0.0
1.898937989,0.0
1.999162509,0.0
2.098488637,0.0
2.198960899,0.0
2.29894108,0.0
2.401219958,0.0
2.498196795,0.0
2.598946847,0.0
2.699013131,0.0
2.79900982,0.0
2.8990781780000003,0.0
2.99899562,0.0
3.098490054,0.0
3.199145766,0.0
3.298990335,0.0
3.3990057780000003,0.0
3.49890915,-0.042681161314249
3.5989012700000003,-0.042681161314249
3.698979272,-0.0492643043398857
3.799072429,-0.0492643043398857
3.898948874,-0.0492643043398857
3.998887476,-0.0492643043398857
4.098948592,-0.0492643043398857
4.198903326,-0.0492643043398857
4.299071319,-0.0492643043398857
4.39905381,-0.0492643043398857
4.498966442,-0.0492643043398857
4.59890036,-0.0492643043398857
4.69917968,-0.0492643043398857
4.798927583,-0.0492643043398857
4.899261365,-0.0492643043398857
4.998983515,-0.0492643043398857
5.098372375,-0.0492643043398857
5.199332276000001,-0.0492643043398857
5.29911681,-0.0492643043398857
5.400162431,-0.0492643043398857
5.499423432,-0.0492643043398857
5.598919754000001,-0.0492643043398857
5.699250496,-0.0492643043398857
5.799044960000001,-0.0492643043398857
5.899158742,-0.0492643043398857
5.999073699,-0.0492643043398857
6.098165045,-0.0492643043398857
6.199163267,-0.0492643043398857
6.298992088,-0.0492643043398857
6.398979608,-0.0492643043398857
6.499218008000001,-0.0492643043398857
6.598893544,-0.0492643043398857
6.6989568450000005,-0.0492643043398857
6.799066541,-0.0492643043398857
6.898948232,-0.0492643043398857
6.998974907,-0.0492643043398857
7.098486599,-0.0492643043398857
7.198966266,-0.0492643043398857
7.298977937,-0.0492643043398857
7.398922149000001,-0.0492643043398857
7.498978392000001,-0.0492643043398857
7.598920535,-0.0492643043398857
7.699153565,-0.0492643043398857
7.798903719,-0.0492643043398857
7.899096468000001,-0.0492643043398857
7.998973012,-0.0492643043398857
8.098575234,-0.0492643043398857
8.199011496,-0.0492643043398857
8.2991467,-0.0492643043398857
8.399044009,-0.0492643043398857
8.499044757,-0.0492643043398857
8.598889639000001,-0.0492643043398857
8.699045041,-0.0492643043398857
8.798914251000001,-0.0492643043398857
8.899206306,-0.0492643043398857
8.999089242,-0.0492643043398857
9.098285984,-0.0492643043398857
9.198931962,-0.0492643043398857
9.298987124,-0.0492643043398857
9.398909558,-0.0492643043398857
9.499085642,-0.0492643043398857
9.598876328,-0.0492643043398857
9.698960711,-0.0492643043398857
9.800576035,-0.0492643043398857
9.898990897,-0.0492643043398857
9.998914296,-0.0492643043398857
10.098180379,-0.0492643043398857
10.19903975,-0.0492643043398857
10.298964373,-0.0492643043398857
10.3989321,-0.0492643043398857
10.498999771,-0.0492643043398857
10.598781502,-0.0492643043398857
10.699213777,0.0489599592983722
10.79869012,0.0489599592983722
10.899065056,0.3500856757164001
10.999010993,0.3500856757164001
11.098941857000002,0.3500856757164001
11.198927736,0.3500856757164001
11.299112263,0.0
11.398976220000002,0.0
11.498945872,0.0
11.598849241,0.0
11.699002508,0.0
11.798896192,0.0
11.899199906000002,0.0
11.998977975,0.0
12.09826448,0.0
12.198940064,0.0
12.298877424,0.0
12.398907719,0.0
12.499190323,0.0
12.598854131,0.0
12.698941186,0.0
12.798984237,0.0
12.898939048,0.0
12.999001528,0.0
13.098291347,0.0
13.198929601,0.0
13.298978446,0.0
13.399068008,0.0
13.499099716000002,0.0
13.598952697,0.0
13.699079792,0.0
13.798942191,0.0
13.898881834,0.0
13.999009460000002,0.0
14.098314909,0.0
14.198995044,0.0
14.299175777,0.0
14.399077105000002,0.0
14.49898691,0.0
14.598874154,0.0
14.698965566,0.0
14.798994935,0.0
14.899191727000002,-0.0199067965149879
14.999002486,-0.0199067965149879
15.098261645,-0.3500856757164001
15.198921524,-0.3500856757164001
15.299107109,-0.3500856757164001
15.399044258000002,-0.3500856757164001
15.499138239,0.0
15.598869196,0.0
15.698911634000002,0.0
15.798967512,0.0
15.898910041,0.0
15.999119793,0.0
16.098498757,0.0
16.198929813,0.0
16.298156288,0.0
16.399089087,0.0
16.498897763000002,0.0
